,Postcode,Borough,Neighbourhood,Postcode,Latitude,Longitude
59,M5H ,Downtown Toronto ,"Richmond, Adelaide, King ,Richmond, Adelaide, King",M5J,43.6408157,-79.38175229999999
60,M5J ,Downtown Toronto ,"Harbourfront East, Union Station, Toronto Islands ,Harbourfront East, Union Station, Toronto Islands",M5K,43.6471768,-79.38157640000001
61,M5K ,Downtown Toronto ,"Toronto Dominion Centre, Design Exchange ,Toronto Dominion Centre, Design Exchange",M5L,43.6481985,-79.37981690000001
62,M5L ,Downtown Toronto ,"Commerce Court, Victoria Hotel ,Commerce Court, Victoria Hotel",M5M,43.7332825,-79.4197497
63,M5M ,North York ,"Bedford Park, Lawrence Manor East ,Bedford Park, Lawrence Manor East",M5N,43.7116948,-79.41693559999999
64,M5N ,Central Toronto ,"Roselawn ,Roselawn",M5P,43.6969476,-79.41130720000001
65,M5P ,Central Toronto ,"Forest Hill North & West, Forest Hill Road Park ,Forest Hill North & West, Forest Hill Road Park",M5R,43.6727097,-79.40567840000001
66,M5R ,Central Toronto ,"The Annex, North Midtown, Yorkville ,The Annex, North Midtown, Yorkville",M5S,43.6626956,-79.4000493
67,M5S ,Downtown Toronto ,"University of Toronto, Harbord ,University of Toronto, Harbord",M5T,43.6532057,-79.4000493
68,M5T ,Downtown Toronto ,"Kensington Market, Chinatown, Grange Park ,Kensington Market, Chinatown, Grange Park",M5V,43.6289467,-79.3944199
69,M5V ,Downtown Toronto ,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport ,CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5W,43.6464352,-79.37484599999999
70,M5W ,Downtown Toronto ,"Stn A PO Boxes ,Stn A PO Boxes",M5X,43.6484292,-79.3822802
71,M5X ,Downtown Toronto ,"First Canadian Place, Underground city ,First Canadian Place, Underground city",M6A,43.718517999999996,-79.46476329999999
72,M6A ,North York ,"Lawrence Manor, Lawrence Heights ,Lawrence Manor, Lawrence Heights",M6B,43.709577,-79.44507259999999
73,M6B ,North York ,"Glencairn ,Glencairn",M6C,43.6937813,-79.42819140000002
74,M6C ,York ,"Humewood-Cedarvale ,Humewood-Cedarvale",M6E,43.6890256,-79.453512
